Y_dimension(mm),Button,True_depth(m),meas,button_raw
87.292,0.0,13.066940625,9.714775e-09,0.0
87.292,0.0,13.066690625,9.673825e-09,0.0
87.292,0.0,13.066440625,9.596725e-09,0.0
87.292,0.0,13.066190625,9.98405e-09,0.0
87.292,0.0,13.065940625,9.878075e-09,0.0
87.292,0.0,13.065690625,1.0061425e-08,0.0
87.292,0.0,13.065440625,1.0242425e-08,0.0
87.292,0.0,13.065190625,1.02688e-08,0.0
87.292,0.0,13.064940625,1.02061e-08,0.0
87.292,0.0,13.064690625,1.024555e-08,0.0
87.292,0.0,13.064440625,1.0444e-08,0.0
87.292,0.0,13.064190625,1.04327e-08,0.0
87.292,0.0,13.063940625,1.0636625e-08,0.0
87.292,0.0,13.063690625,1.08892e-08,0.0
87.292,0.0,13.063440625,1.10002e-08,0.0
87.292,0.0,13.063190625,1.095825e-08,0.0
87.292,0.0,13.062940625,1.07261e-08,0.0
87.292,0.0,13.062690625,1.11624e-08,0.0
87.292,0.0,13.062440625,1.119575e-08,0.0
87.292,0.0,13.062190625,1.12056e-08,0.0
87.292,0.0,13.061940625,1.1483275e-08,0.0
87.292,0.0,13.061690625,1.1774675e-08,0.0
87.292,0.0,13.061440625,1.157445e-08,0.0
87.292,0.0,13.061190625,1.177855e-08,0.0
87.292,0.0,13.060940625,1.199135e-08,0.0
87.292,0.0,13.060690625,1.2059275e-08,0.0
87.292,0.0,13.060440625,1.212885e-08,0.0
87.292,0.0,13.060190625,1.238735e-08,0.0
87.292,0.0,13.059940625,1.24857e-08,0.0
87.292,0.0,13.059690625,1.2628425e-08,0.0
87.292,0.0,13.059440625,1.27239e-08,0.0
87.292,0.0,13.059190625,1.2728e-08,0.0
87.292,0.0,13.058940625,1.27383e-08,0.0
87.292,0.0,13.058690625,1.3003625e-08,0.0
87.292,0.0,13.058440625,1.3114225e-08,0.0
87.292,0.0,13.058190625,1.31799e-08,0.0
87.292,0.0,13.057940625,1.32347e-08,0.0
87.292,0.0,13.057690625,1.3220925e-08,0.0
87.292,0.0,13.057440625,1.332715e-08,0.0
87.292,0.0,13.057190625,1.3245500000000001e-08,0.0
87.292,0.0,13.056940625,1.3402125e-08,0.0
87.292,0.0,13.056690625,1.35064e-08,0.0
87.292,0.0,13.056440625,1.349355e-08,0.0
87.292,0.0,13.056190625,1.3454e-08,0.0
87.292,0.0,13.055940625,1.3427575e-08,0.0
87.292,0.0,13.055690625,1.34855e-08,0.0
87.292,0.0,13.055440625,1.336685e-08,0.0
87.292,0.0,13.055190625,1.3505225e-08,0.0
87.292,0.0,13.054940625,1.3295125e-08,0.0
87.292,0.0,13.054690625,1.3254375e-08,0.0
87.292,0.0,13.054440625,1.325685e-08,0.0
87.292,0.0,13.054190625,1.3140975e-08,0.0
87.292,0.0,13.053940625,1.311925e-08,0.0
87.292,0.0,13.053690625,1.30661e-08,0.0
87.292,0.0,13.053440625,1.29175e-08,0.0
87.292,0.0,13.053190625,1.324615e-08,0.0
87.292,0.0,13.052940625,1.32523e-08,0.0
87.292,0.0,13.052690625,1.310535e-08,0.0
87.292,0.0,13.052440625,1.314995e-08,0.0
87.292,0.0,13.052190625,1.299415e-08,0.0
87.292,0.0,13.051940625,1.3269325e-08,0.0
87.292,0.0,13.051690625,1.3275925e-08,0.0
87.292,0.0,13.051440625,1.317675e-08,0.0
87.292,0.0,13.051190625,1.3147425e-08,0.0
87.292,0.0,13.050940625,1.33782e-08,0.0
87.292,0.0,13.050690625,1.31876e-08,0.0
87.292,0.0,13.050440625,1.321095e-08,0.0
87.292,0.0,13.050190625,1.3206225000000002e-08,0.0
87.292,0.0,13.049940625,1.319015e-08,0.0
87.292,0.0,13.049690625,1.312405e-08,0.0
87.292,0.0,13.049440625,1.30862e-08,0.0
87.292,0.0,13.049190625,1.321225e-08,0.0
87.292,0.0,13.048940625,1.3113950000000001e-08,0.0
87.292,0.0,13.048690625,1.3282825e-08,0.0
87.292,0.0,13.048440625,1.36174e-08,0.0
87.292,0.0,13.048190625,1.3274775e-08,0.0
87.292,0.0,13.047940625,1.3363075e-08,0.0
87.292,0.0,13.047690625,1.3128075e-08,0.0
87.292,0.0,13.047440625,1.337365e-08,0.0
87.292,0.0,13.047190625,1.3475625e-08,0.0
87.292,0.0,13.046940625,1.341685e-08,0.0
87.292,0.0,13.046690625,1.336695e-08,0.0
87.292,0.0,13.046440625,1.33139e-08,0.0
87.292,0.0,13.046190625,1.34643e-08,0.0
87.292,0.0,13.045940625,1.3190775e-08,0.0
87.292,0.0,13.045690625,1.3335e-08,0.0
87.292,0.0,13.045440625,1.303965e-08,0.0
87.292,0.0,13.045190625,1.3242075e-08,0.0
87.292,0.0,13.044940625,1.3064775e-08,0.0
87.292,0.0,13.044690625,1.3245325e-08,0.0
87.292,0.0,13.044440625,1.31434e-08,0.0
87.292,0.0,13.044190625,1.30459e-08,0.0
87.292,0.0,13.043940625,1.3127625e-08,0.0
87.292,0.0,13.043690625,1.298345e-08,0.0
87.292,0.0,13.043440625,1.3188375e-08,0.0
87.292,0.0,13.043190625,1.32058e-08,0.0
87.292,0.0,13.042940625,1.30752e-08,0.0
87.292,0.0,13.042690625,1.30619e-08,0.0
87.292,0.0,13.042440625,1.31444e-08,0.0
87.292,0.0,13.042190625,1.295695e-08,0.0
87.292,0.0,13.041940625,1.3057225e-08,0.0
87.292,0.0,13.041690625,1.308795e-08,0.0
87.292,0.0,13.041440625,1.2938075e-08,0.0
87.292,0.0,13.041190625,1.29993e-08,0.0
87.292,0.0,13.040940625,1.30373e-08,0.0
87.292,0.0,13.040690625,1.288675e-08,0.0
87.292,0.0,13.040440625,1.29035e-08,0.0
87.292,0.0,13.040190625,1.2787925000000001e-08,0.0
87.292,0.0,13.039940625,1.2966875e-08,0.0
87.292,0.0,13.039690625,1.29752e-08,0.0
87.292,0.0,13.039440625,1.27797e-08,0.0
87.292,0.0,13.039190625,1.300525e-08,0.0
87.292,0.0,13.038940625,1.29329e-08,0.0
87.292,0.0,13.038690625,1.2964700000000001e-08,0.0
87.292,0.0,13.038440625,1.29067e-08,0.0
87.292,0.0,13.038190625,1.2986175e-08,0.0
87.292,0.0,13.037940625,1.28667e-08,0.0
87.292,0.0,13.037690625,1.27308e-08,0.0
87.292,0.0,13.037440625,1.288095e-08,0.0
