Y_dimension(mm),Button,True_depth(m),meas,button_raw
37.309,1.0,15.70623125,3.188125e-09,0.0
37.309,1.0,15.70598125,3.186005e-09,0.0
37.309,1.0,15.70573125,3.225805e-09,0.0
37.309,1.0,15.70548125,3.1171524999999997e-09,0.0
37.309,1.0,15.70523125,2.8929399999999997e-09,1.0
37.309,1.0,15.70498125,3.1173700000000004e-09,1.0
37.309,1.0,15.70473125,3.21172e-09,0.0
37.309,1.0,15.70448125,3.395515e-09,1.0
37.309,1.0,15.70423125,3.1429675e-09,1.0
37.309,1.0,15.70398125,3.2503025e-09,1.0
37.309,1.0,15.70373125,3.28853e-09,0.0
37.309,1.0,15.70348125,3.3061875e-09,1.0
37.309,1.0,15.70323125,3.222365e-09,1.0
37.309,1.0,15.70298125,3.2328074999999997e-09,1.0
37.309,1.0,15.70273125,3.228895e-09,1.0
37.309,1.0,15.70248125,3.0677274999999997e-09,1.0
37.309,1.0,15.70223125,2.9311975e-09,1.0
37.309,1.0,15.70198125,2.4644575e-09,1.0
37.309,1.0,15.70173125,1.20131e-09,1.0
37.309,1.0,15.70148125,5.7074775e-10,1.0
37.309,1.0,15.70123125,-2.02e-11,1.0
37.309,1.0,15.70098125,-3.3257e-10,0.0
37.309,1.0,15.70073125,-6.890074999999996e-10,0.0
37.309,1.0,15.70048125,-6.56355e-10,1.0
37.309,1.0,15.70023125,-8.3978e-10,1.0
37.309,1.0,15.69998125,-8.594425e-10,1.0
37.309,1.0,15.69973125,-6.8187e-10,1.0
37.309,1.0,15.69948125,-8.746375e-10,1.0
37.309,1.0,15.69923125,-7.329749999999999e-10,1.0
37.309,1.0,15.69898125,-8.28585e-10,0.0
37.309,1.0,15.69873125,-8.09785e-10,0.0
37.309,1.0,15.69848125,-9.32135e-10,1.0
37.309,1.0,15.69823125,-8.330925e-10,1.0
37.309,1.0,15.69798125,-8.871125e-10,1.0
37.309,1.0,15.69773125,-6.931e-10,1.0
37.309,1.0,15.69748125,-7.8044e-10,1.0
37.309,1.0,15.69723125,-8.4953e-10,1.0
37.309,1.0,15.69698125,-8.2449e-10,0.0
