Y_dimension(mm),Button,True_depth(m),meas,button_raw
55.191,1.0,23.0752625,-2.0357325e-09,0.0
55.191,1.0,23.0750125,-1.9893175e-09,0.0
55.191,1.0,23.0747625,-2.185555e-09,0.0
55.191,1.0,23.0745125,-2.0132325e-09,1.0
55.191,1.0,23.0742625,-2.0710849999999998e-09,1.0
55.191,1.0,23.0740125,-2.06953e-09,0.0
55.191,1.0,23.0737625,-2.0790174999999997e-09,0.0
55.191,1.0,23.0735125,-2.0068625e-09,1.0
55.191,1.0,23.0732625,-2.03653e-09,1.0
55.191,1.0,23.0730125,-2.051915e-09,1.0
55.191,1.0,23.0727625,-2.000175e-09,1.0
55.191,1.0,23.0725125,-1.9473575e-09,1.0
55.191,1.0,23.0722625,-2.048305e-09,1.0
55.191,1.0,23.0720125,-2.08887e-09,0.0
55.191,1.0,23.0717625,-2.04878e-09,0.0
55.191,1.0,23.0715125,-2.0588575e-09,1.0
55.191,1.0,23.0712625,-2.076905e-09,1.0
55.191,1.0,23.0710125,-2.020255e-09,0.0
55.191,1.0,23.0707625,-2.0295e-09,0.0
55.191,1.0,23.0705125,-2.157305e-09,1.0
55.191,1.0,23.0702625,-2.1597275e-09,1.0
55.191,1.0,23.0700125,-2.027335e-09,0.0
55.191,1.0,23.0697625,-1.983295e-09,0.0
55.191,1.0,23.0695125,-2.03491e-09,1.0
55.191,1.0,23.0692625,-2.0081475e-09,1.0
55.191,1.0,23.0690125,-1.98383e-09,0.0
55.191,1.0,23.0687625,-2.125125e-09,0.0
55.191,1.0,23.0685125,-2.0250675e-09,1.0
55.191,1.0,23.0682625,-2.0817625e-09,1.0
55.191,1.0,23.0680125,-2.043055e-09,0.0
55.191,1.0,23.0677625,-2.0334274999999997e-09,0.0
55.191,1.0,23.0675125,-2.040435e-09,1.0
55.191,1.0,23.0672625,-2.0785e-09,1.0
55.191,1.0,23.0670125,-2.058255e-09,0.0
55.191,1.0,23.0667625,-2.0990325e-09,0.0
55.191,1.0,23.0665125,-2.039495e-09,1.0
55.191,1.0,23.0662625,-2.0461175e-09,1.0
55.191,1.0,23.0660125,-2.0420925e-09,0.0
55.191,1.0,23.0657625,-2.00622e-09,0.0
55.191,1.0,23.0655125,-2.1252875e-09,1.0
55.191,1.0,23.0652625,-2.0985225000000003e-09,1.0
55.191,1.0,23.0650125,-2.02e-09,0.0
55.191,1.0,23.0647625,-1.93878e-09,0.0
55.191,1.0,23.0645125,-1.96175e-09,1.0
55.191,1.0,23.0642625,-1.9526775e-09,1.0
55.191,1.0,23.0640125,-2.09297e-09,1.0
55.191,1.0,23.0637625,-2.037675e-09,1.0
55.191,1.0,23.0635125,-1.9994975e-09,1.0
55.191,1.0,23.0632625,-2.142655e-09,1.0
55.191,1.0,23.0630125,-2.117185e-09,0.0
55.191,1.0,23.0627625,-2.0171875e-09,0.0
55.191,1.0,23.0625125,-2.0531174999999997e-09,1.0
55.191,1.0,23.0622625,-2.000475e-09,1.0
55.191,1.0,23.0620125,-2.023045e-09,1.0
55.191,1.0,23.0617625,-2.1607250000000007e-09,1.0
55.191,1.0,23.0615125,-2.16512e-09,1.0
55.191,1.0,23.0612625,-2.0197574999999997e-09,1.0
55.191,1.0,23.0610125,-2.034455e-09,1.0
55.191,1.0,23.0607625,-2.07302e-09,1.0
55.191,1.0,23.0605125,-1.9044075e-09,1.0
55.191,1.0,23.0602625,-2.0660225e-09,1.0
55.191,1.0,23.0600125,-2.170005e-09,1.0
55.191,1.0,23.0597625,-1.99131e-09,1.0
55.191,1.0,23.0595125,-2.0575775e-09,1.0
55.191,1.0,23.0592625,-2.010485e-09,1.0
55.191,1.0,23.0590125,-2.04458e-09,1.0
55.191,1.0,23.0587625,-1.92073e-09,1.0
55.191,1.0,23.0585125,-2.0989525e-09,1.0
55.191,1.0,23.0582625,-1.927685e-09,1.0
55.191,1.0,23.0580125,-2.119205e-09,1.0
55.191,1.0,23.0577625,-2.171685e-09,1.0
55.191,1.0,23.0575125,-2.2531675e-09,1.0
55.191,1.0,23.0572625,-1.9364125e-09,1.0
55.191,1.0,23.0570125,-1.988585e-09,1.0
55.191,1.0,23.0567625,-2.1199925e-09,1.0
55.191,1.0,23.0565125,-2.037235e-09,1.0
55.191,1.0,23.0562625,-2.0107349999999997e-09,1.0
55.191,1.0,23.0560125,-2.15388e-09,1.0
55.191,1.0,23.0557625,-2.03611e-09,1.0
