Y_dimension(mm),Button,True_depth(m),meas,button_raw
49.922,0.0,38.798196875,1.21516e-08,0.0
49.922,0.0,38.797946875,1.18817e-08,0.0
49.922,0.0,38.797696875,1.1917675e-08,0.0
49.922,0.0,38.797446875,1.16756e-08,0.0
49.922,0.0,38.797196875,1.1627775e-08,0.0
49.922,0.0,38.796946875,1.203725e-08,0.0
49.922,0.0,38.796696875,1.1863625e-08,0.0
49.922,0.0,38.796446875,1.1884675e-08,0.0
49.922,0.0,38.796196875,1.1802875e-08,0.0
49.922,0.0,38.795946875,1.190055e-08,0.0
49.922,0.0,38.795696875,1.17687e-08,0.0
49.922,0.0,38.795446875,1.17363e-08,0.0
49.922,0.0,38.795196875,1.18984e-08,0.0
49.922,0.0,38.794946875,1.197055e-08,0.0
49.922,0.0,38.794696875,1.1912025e-08,0.0
49.922,0.0,38.794446875,1.171705e-08,0.0
49.922,0.0,38.794196875,1.20677e-08,0.0
49.922,0.0,38.793946875,1.172935e-08,0.0
49.922,0.0,38.793696875,1.213565e-08,0.0
49.922,0.0,38.793446875,1.194365e-08,0.0
49.922,0.0,38.793196875,1.18598e-08,0.0
49.922,0.0,38.792946875,1.207205e-08,0.0
49.922,0.0,38.792696875,1.17939e-08,0.0
49.922,0.0,38.792446875,1.200705e-08,0.0
49.922,0.0,38.792196875,1.2014625e-08,0.0
49.922,0.0,38.791946875,1.18075e-08,0.0
49.922,0.0,38.791696875,1.206545e-08,0.0
49.922,0.0,38.791446875,1.153795e-08,0.0
49.922,0.0,38.791196875,1.20647e-08,0.0
49.922,0.0,38.790946875,1.1723025e-08,0.0
49.922,0.0,38.790696875,1.18847e-08,0.0
49.922,0.0,38.790446875,1.1678775e-08,0.0
49.922,0.0,38.790196875,1.1881525000000001e-08,0.0
49.922,0.0,38.789946875,1.18707e-08,0.0
49.922,0.0,38.789696875,1.1906675000000001e-08,0.0
49.922,0.0,38.789446875,1.1831675e-08,0.0
49.922,0.0,38.789196875,1.16701e-08,0.0
49.922,0.0,38.788946875,1.17929e-08,0.0
49.922,0.0,38.788696875,1.179585e-08,0.0
49.922,0.0,38.788446875,1.15016e-08,0.0
49.922,0.0,38.788196875,1.18617e-08,0.0
49.922,0.0,38.787946875,1.181465e-08,0.0
49.922,0.0,38.787696875,1.1905575e-08,0.0
49.922,0.0,38.787446875,1.1645575e-08,0.0
49.922,0.0,38.787196875,1.188555e-08,0.0
49.922,0.0,38.786946875,1.17746e-08,0.0
49.922,0.0,38.786696875,1.186975e-08,0.0
49.922,0.0,38.786446875,1.123255e-08,0.0
49.922,0.0,38.786196875,1.1296475e-08,0.0
49.922,0.0,38.785946875,1.160655e-08,0.0
49.922,0.0,38.785696875,1.1863475000000001e-08,0.0
49.922,0.0,38.785446875,1.1814175e-08,0.0
49.922,0.0,38.785196875,1.11849e-08,0.0
49.922,0.0,38.784946875,1.1774125e-08,0.0
49.922,0.0,38.784696875,1.18958e-08,0.0
49.922,0.0,38.784446875,1.195385e-08,0.0
49.922,0.0,38.784196875,1.1907525e-08,0.0
49.922,0.0,38.783946875,1.19471e-08,0.0
49.922,0.0,38.783696875,1.1875125e-08,0.0
49.922,0.0,38.783446875,1.1818025e-08,0.0
49.922,0.0,38.783196875,1.19745e-08,0.0
49.922,0.0,38.782946875,1.19184e-08,0.0
49.922,0.0,38.782696875,1.1816825e-08,0.0
49.922,0.0,38.782446875,1.220885e-08,0.0
49.922,0.0,38.782196875,1.2022200000000001e-08,0.0
49.922,0.0,38.781946875,1.192785e-08,0.0
49.922,0.0,38.781696875,1.1787875e-08,0.0
49.922,0.0,38.781446875,1.17776e-08,0.0
49.922,0.0,38.781196875,1.17973e-08,0.0
49.922,0.0,38.780946875,1.1962875e-08,0.0
49.922,0.0,38.780696875,1.1963825e-08,0.0
49.922,0.0,38.780446875,1.160875e-08,0.0
49.922,0.0,38.780196875,1.1818825e-08,0.0
49.922,0.0,38.779946875,1.174855e-08,0.0
49.922,0.0,38.779696875,1.17507e-08,0.0
49.922,0.0,38.779446875,1.1863225e-08,0.0
