Y_dimension(mm),Button,True_depth(m),meas,button_raw
62.836,0.0,46.3744234375,7.9045e-09,0.0
62.836,0.0,46.3741734375,7.797125e-09,0.0
62.836,0.0,46.3739234375,7.87335e-09,0.0
62.836,0.0,46.3736734375,7.73935e-09,0.0
62.836,0.0,46.3734234375,7.715375e-09,0.0
62.836,0.0,46.3731734375,7.682175e-09,0.0
62.836,0.0,46.3729234375,7.718200000000001e-09,0.0
62.836,0.0,46.3726734375,7.60465e-09,0.0
62.836,0.0,46.3724234375,7.558024999999999e-09,0.0
62.836,0.0,46.3721734375,7.57265e-09,0.0
62.836,0.0,46.3719234375,7.6119e-09,0.0
62.836,0.0,46.3716734375,7.23665e-09,0.0
62.836,0.0,46.3714234375,7.53615e-09,0.0
62.836,0.0,46.3711734375,7.489249999999999e-09,0.0
62.836,0.0,46.3709234375,7.400825e-09,0.0
62.836,0.0,46.3706734375,7.3783e-09,0.0
62.836,0.0,46.3704234375,7.2614750000000005e-09,0.0
62.836,0.0,46.3701734375,7.36185e-09,0.0
62.836,0.0,46.3699234375,7.25855e-09,0.0
62.836,0.0,46.3696734375,7.400125e-09,0.0
62.836,0.0,46.3694234375,7.1975e-09,0.0
62.836,0.0,46.3691734375,7.410925e-09,0.0
62.836,0.0,46.3689234375,7.2307e-09,0.0
62.836,0.0,46.3686734375,7.21215e-09,0.0
62.836,0.0,46.3684234375,7.257275e-09,0.0
62.836,0.0,46.3681734375,7.1839e-09,0.0
62.836,0.0,46.3679234375,7.1582e-09,0.0
62.836,0.0,46.3676734375,7.16095e-09,0.0
62.836,0.0,46.3674234375,7.2701e-09,0.0
62.836,0.0,46.3671734375,7.2739e-09,0.0
62.836,0.0,46.3669234375,7.36465e-09,0.0
62.836,0.0,46.3666734375,7.3523e-09,0.0
62.836,0.0,46.3664234375,7.3987e-09,0.0
62.836,0.0,46.3661734375,7.409825e-09,0.0
62.836,0.0,46.3659234375,7.39285e-09,0.0
62.836,0.0,46.3656734375,7.351275e-09,0.0
62.836,0.0,46.3654234375,7.334225e-09,0.0
62.836,0.0,46.365173437500005,7.4015e-09,0.0
62.836,0.0,46.3649234375,7.48065e-09,0.0
62.836,0.0,46.3646734375,7.530525e-09,0.0
62.836,0.0,46.3644234375,7.81995e-09,0.0
62.836,0.0,46.3641734375,7.610774999999999e-09,0.0
62.836,0.0,46.3639234375,7.6526e-09,0.0
62.836,0.0,46.363673437500005,7.4856e-09,0.0
62.836,0.0,46.3634234375,7.69085e-09,0.0
62.836,0.0,46.3631734375,7.6396e-09,0.0
62.836,0.0,46.3629234375,7.515275e-09,0.0
62.836,0.0,46.3626734375,7.69005e-09,0.0
62.836,0.0,46.3624234375,7.82275e-09,0.0
62.836,0.0,46.362173437500005,7.557e-09,0.0
