depth_cm,AC,DC
0.015,1.4824908440170939e-08,5.1164186909090905e-06
0.025,1.4717839756944447e-08,5.180839558712121e-06
0.035,1.4588373645833333e-08,5.628765772849462e-06
0.045,1.4268963065476188e-08,5.799206525735294e-06
0.05500000000000001,1.3902723504464286e-08,5.916892089460784e-06
0.065,1.3593252165178572e-08,5.714048546599497e-06
0.075,1.333297392857143e-08,5.3220509436274505e-06
0.08499999999999999,1.3224900133928572e-08,5.071223307598039e-06
0.095,1.3400335223214286e-08,4.904069031862745e-06
0.105,1.357790970982143e-08,4.645148675245099e-06
0.11499999999999999,1.3330876436011904e-08,4.558205772058824e-06
0.125,1.349993914434524e-08,4.719703046568628e-06
0.135,1.3539306339285715e-08,4.710540235294117e-06
0.14500000000000002,1.3665093392857143e-08,4.8620685323383085e-06
0.15500000000000003,1.3741493571428572e-08,4.946513085784314e-06
0.165,1.3995705580357143e-08,4.967263149509803e-06
0.17500000000000002,1.4150000736607146e-08,5.078308100755666e-06
0.185,1.4261581495535712e-08,5.048409045343138e-06
0.195,1.4211479218749999e-08,5.173705232843138e-06
0.20500000000000002,1.4076926451905629e-08,5.380599421568628e-06
0.21500000000000002,1.383907095982143e-08,5.46708018504902e-06
0.225,1.3604670290178573e-08,5.391690889705882e-06
0.23500000000000001,1.3595057671130954e-08,5.232393762254902e-06
0.245,1.3729005089285712e-08,5.0636477794117655e-06
0.255,1.3592210290178571e-08,4.800545154228855e-06
0.265,1.3330859866071429e-08,4.59802943382353e-06
0.275,1.3366532165178571e-08,4.8693197242647055e-06
0.28500000000000003,1.3709616339285714e-08,4.93061902141058e-06
0.29500000000000004,1.4031786986607143e-08,4.666581991421569e-06
0.305,1.432459370535714e-08,4.756008886029412e-06
0.315,1.4602029761904761e-08,5.096974714460784e-06
0.325,1.5158242217261906e-08,5.236168828431372e-06
0.335,1.5417611450892858e-08,5.549945221813726e-06
0.34500000000000003,1.5773096785714286e-08,5.773100351715685e-06
0.35500000000000004,1.5964101294642858e-08,6.1465894473039214e-06
0.365,1.623635372767857e-08,6.161168808457712e-06
0.375,1.6607874598214284e-08,6.067864582107843e-06
0.385,1.6333672142857146e-08,6.0062541458333334e-06
0.395,1.6183556473214287e-08,6.359206494962217e-06
0.405,1.616481917410714e-08,5.807629397058823e-06
0.41500000000000004,1.6155282879464282e-08,5.080187174387255e-06
0.42500000000000004,1.602667418154762e-08,5.046424850980392e-06
0.435,1.5938125379464286e-08,5.0322514471813724e-06
0.445,1.5986543169642855e-08,4.868264082965687e-06
0.455,1.5996727454954952e-08,4.890630382598039e-06
0.465,1.6264415066964287e-08,4.851629933700979e-06
0.47500000000000003,1.6559258139880952e-08,4.994114580223881e-06
0.485,1.6929312723214286e-08,5.040068945955882e-06
0.495,1.7047638370535713e-08,5.175122257352941e-06
0.505,1.7047045967261904e-08,5.451214539042821e-06
0.515,1.6687161376488093e-08,5.534886127450979e-06
0.525,1.6751309174107144e-08,5.462506402696078e-06
0.535,1.6689798281250002e-08,5.2853613051470584e-06
0.545,1.6377707983630955e-08,5.04686022879902e-06
0.555,1.641897109375e-08,5.091121450980393e-06
0.5650000000000001,1.6346969776785713e-08,5.095950144485294e-06
0.5750000000000001,1.6613031391369047e-08,5.061503435323382e-06
0.585,1.7010243080357145e-08,4.823507273039216e-06
0.595,1.744853742559524e-08,4.72845113627451e-06
0.605,1.786655316964286e-08,5.257558212468514e-06
0.615,1.8153409367559524e-08,5.561669988112746e-06
0.625,1.8398632924107145e-08,5.96630467120098e-06
0.635,1.8479346680278283e-08,6.422057810784314e-06
0.645,1.8504769813988096e-08,6.455120368382353e-06
0.655,1.818163078125e-08,6.547922696078431e-06
0.665,1.7754145364583334e-08,6.490377568627451e-06
0.675,1.7379961436011902e-08,6.218858540441176e-06
0.685,1.726584767857143e-08,5.752992119402985e-06
0.6950000000000001,1.7164734977678574e-08,5.589010321078431e-06
0.7050000000000001,1.7475405468749998e-08,5.64250293382353e-06
0.7150000000000001,1.7618626964285717e-08,5.488022117128463e-06
0.725,1.2421895674330357e-08,5.785971615196078e-06
0.735,2.7623733829741374e-09,5.705435763374485e-06
0.745,-2.8539119e-10,4.775172380952382e-06
0.755,,
0.765,,
0.775,,
0.785,,
0.795,,
0.805,1.768752453703704e-08,7.083375087155963e-06
0.8150000000000001,1.658555608901515e-08,6.246220201954398e-06
0.8250000000000001,1.6083669261363637e-08,6.260713766025642e-06
0.8350000000000001,1.5541465909090908e-08,6.185848958333334e-06
0.845,1.5264874147727275e-08,6.060120905448718e-06
0.855,1.4833226164772727e-08,5.8734306730769235e-06
0.865,1.450576984848485e-08,5.713157719551282e-06
0.875,1.4516352528409092e-08,5.7029038355263155e-06
0.885,1.4217546619318183e-08,5.635722181089743e-06
0.895,1.4085236249999998e-08,5.4492528685897435e-06
0.905,1.382892066012317e-08,5.403569118589744e-06
0.915,1.3543540795454545e-08,5.254363144230769e-06
0.925,1.3630084772727274e-08,5.2536676362179485e-06
0.935,1.3521606590909092e-08,5.18957851791531e-06
0.9450000000000001,1.3515707537878787e-08,5.054502584935897e-06
0.9550000000000001,1.322840997159091e-08,5.1099806794871796e-06
0.9650000000000001,1.3086446714015152e-08,5.017160149038461e-06
0.975,1.3190309857954546e-08,4.9527832099358975e-06
0.985,1.3149645170454548e-08,5.0572300937500005e-06
0.995,1.3108054914772728e-08,4.9867017259615385e-06
1.005,1.2839961789772728e-08,4.788603897435898e-06
1.0150000000000001,1.2591441979166667e-08,4.688364421474359e-06
1.025,1.2418354933712121e-08,4.634625657051282e-06
