depth,d18O,dD,dxs,CH4,CO,CO2,concentration,XL,large,medium,small,total_counts,small_percentage,large_percentage,XL_percentage,flow_rate
0,-36.16466635,-289.652359,-0.335028152,596.1602215,0.05532,37.86412,2451.693812,,,,,,,,,0.064439415
0.02,-36.0947851,-289.3287263,-0.57044553,594.9680962,0.061823529,39.64652941,2036.517636,,,,,,,,,0.064647902
0.04,-36.07181759,-288.7936282,-0.219087484,594.0194831,0.056848485,43.76009091,4722.915757,,,,,,,,,0.065267787
0.06,-36.08636803,-289.1464436,-0.455499378,594.6961162,0.065818182,48.74609091,1653.496195,,,,,,,,,0.06507848
0.08,-36.25703091,-289.1400551,0.916192215,597.5959727,0.062787879,48.97915152,1844.347893,,,,,,,,,0.064974489
0.1,-36.14222083,-289.088218,0.049548644,601.9135367,0.060727273,55.76375758,1881.924619,,,,,,,,,0.065157639
0.12,-36.15840249,-289.0526532,0.214566681,607.165499,0.063484848,57.77718182,1734.852568,,,,,,,,,0.064094622
0.14,-36.22645679,-289.0037123,0.807942003,614.0446029,0.074970588,60.07517647,1634.768245,,,,,,,,,0.065179556
0.16,-36.13717952,-289.0928452,0.004591013,622.4702969,0.065363636,62.50681818,1754.390962,,,,,,,,,0.064167806
0.18,-36.26606269,-289.2314214,0.897080099,631.5242931,0.059060606,64.85966667,10892.33054,,,,,,,,,0.063504089
0.2,-36.20394602,-289.3465087,0.285059431,644.1869996,0.066909091,68.89648485,1750.543916,,,,,,,,,0.06409168
0.22,-36.25007678,-289.5075994,0.493014843,658.7507231,0.064818182,71.81775758,1294.485323,,,,,,,,,0.063848704
0.24,-36.32248557,-289.7508022,0.829082283,672.7666959,0.071515152,73.47254545,1212.935818,,,,,,,,,0.063520684
0.26,-36.23807104,-289.9259317,-0.021363382,679.9680061,0.060852941,74.54008824,1577.060847,,,,,,,,,0.065466258
0.28,-36.25953783,-289.904897,0.171405591,679.1141595,0.062606061,75.7229697,1764.714028,,,,,,,,,0.065621435
0.3,-36.33940213,-290.3414838,0.373733179,672.3156072,0.069030303,75.51351515,2002.939949,,,,,,,,,0.063396258
0.32,-36.37809455,-290.5172621,0.507494334,658.4607375,0.052969697,74.8740303,1572.160178,,,,,,,,,0.064255609
