depth_m,AC,DC
8.485,1.15E-08,2.67E-06
8.495,1.12E-08,2.61E-06
8.505,1.08E-08,2.90E-06
8.515,1.06E-08,3.78E-06
8.525,1.04E-08,3.63E-06
8.535,1.02E-08,3.53E-06
8.545,1.00E-08,3.45E-06
8.555,9.90E-09,3.42E-06
8.565,9.78E-09,3.42E-06
8.575,9.62E-09,3.39E-06
8.585,9.55E-09,3.27E-06
8.595,9.51E-09,3.28E-06
8.605,9.54E-09,3.32E-06
8.615,9.47E-09,3.24E-06
8.625,9.34E-09,3.19E-06
8.635,9.24E-09,3.05E-06
8.645,9.16E-09,2.93E-06
8.655,9.10E-09,2.78E-06
8.665,9.05E-09,2.68E-06
8.675,8.96E-09,2.63E-06
8.685,8.91E-09,2.65E-06
8.695,8.94E-09,2.64E-06
8.705,8.85E-09,2.63E-06
8.715,8.87E-09,2.62E-06
8.725,8.87E-09,2.59E-06
8.735,8.85E-09,2.64E-06
8.745,8.88E-09,2.62E-06
8.755,8.88E-09,2.65E-06
8.765,8.89E-09,2.65E-06
8.775,8.88E-09,2.62E-06
8.785,8.84E-09,2.60E-06
8.795,8.80E-09,2.57E-06
8.805,8.80E-09,2.55E-06
8.815,8.81E-09,2.54E-06
8.825,8.82E-09,2.61E-06
8.835,8.82E-09,2.54E-06
8.845,8.86E-09,2.53E-06
8.855,8.87E-09,2.60E-06
8.865,8.87E-09,2.60E-06
8.875,8.89E-09,2.59E-06
8.885,8.87E-09,2.56E-06
8.895,8.84E-09,2.54E-06
8.905,8.87E-09,2.53E-06
8.915,8.87E-09,2.44E-06
8.925,8.84E-09,2.43E-06
8.935,8.89E-09,2.46E-06
8.945,8.83E-09,2.41E-06
8.955,8.78E-09,2.36E-06
8.965,8.77E-09,2.41E-06
8.975,8.80E-09,2.34E-06
8.985,8.81E-09,2.20E-06
8.995,8.85E-09,2.14E-06
9.005,8.88E-09,2.15E-06
9.015,8.88E-09,2.14E-06
9.025,8.90E-09,2.17E-06
9.035,8.89E-09,2.18E-06
9.045,8.86E-09,2.10E-06
9.055,8.90E-09,2.15E-06
9.065,8.91E-09,2.22E-06
9.075,8.84E-09,2.14E-06
9.085,8.89E-09,2.13E-06
9.095,8.93E-09,2.19E-06
9.105,8.87E-09,2.22E-06
9.115,8.91E-09,2.23E-06
9.125,8.90E-09,2.26E-06
9.135,8.93E-09,2.21E-06
9.145,9.02E-09,2.15E-06
9.155,9.00E-09,2.14E-06
9.165,9.00E-09,2.06E-06
9.175,8.96E-09,1.99E-06
9.185,8.93E-09,1.99E-06
9.195,8.96E-09,2.06E-06
